***MESSAGES***,,,,,,,,,,,,,,,,,,,,,,,,
id,title,caption,type,channel_id,created_at,updated_at,content_file_name,content_content_type,content_file_size,content_updated_at,seq_no,next_send_time,primary,reminder_message_text,reminder_delay,repeat_reminder_message_text,repeat_reminder_delay,number_of_repeat_reminders,options,deleted_at,schedule,active,requires_response,recurring_schedule
33448,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,10,,TRUE,,1,,30,1,{},,Day 12 10:00,TRUE,FALSE,{}
33455,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,17,,TRUE,,1,,30,1,{},,Day 6 10:00,TRUE,FALSE,{}
33456,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,18,,TRUE,,1,,30,1,{},,Day 7 10:00,TRUE,FALSE,{}
33457,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,19,,TRUE,,1,,30,1,{},,Day 20 10:00,TRUE,FALSE,{}
33458,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,20,,TRUE,,1,,30,1,{},,Day 21 10:00,TRUE,FALSE,{}
33459,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,21,,TRUE,,1,,30,1,{},,Day 22 10:00,TRUE,FALSE,{}
33454,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,16,,TRUE,,1,,30,1,{},,Day 5 10:00,TRUE,FALSE,{}
33453,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,15,,TRUE,,1,,30,1,{},,Day 4 10:00,TRUE,FALSE,{}
33452,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,14,,TRUE,,1,,30,1,{},,Day 3 10:00,TRUE,FALSE,{}
33451,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,13,,TRUE,,1,,30,1,{},,Day 2 10:00,TRUE,FALSE,{}
33450,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,12,,TRUE,,1,,30,1,{},,Day 14 10:00,TRUE,FALSE,{}
33449,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,11,,TRUE,,1,,30,1,{},,Day 13 10:00,TRUE,FALSE,{}
33447,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,9,,TRUE,,1,,30,1,{},,Day 11 10:00,TRUE,FALSE,{}
33446,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,8,,TRUE,,1,,30,1,{},,Day 19 10:00,TRUE,FALSE,{}
33445,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,7,,TRUE,,1,,30,1,{},,Day 18 10:00,TRUE,FALSE,{}
33444,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,6,,TRUE,,1,,30,1,{},,Day 17 10:00,TRUE,FALSE,{}
33443,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,5,,TRUE,,1,,30,1,{},,Day 16 10:00,TRUE,FALSE,{}
33442,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,4,,TRUE,,1,,30,1,{},,Day 15 10:00,TRUE,FALSE,{}
33441,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,3,,TRUE,,1,,30,1,{},,Day 10 10:00,TRUE,FALSE,{}
33440,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,2,,TRUE,,1,,30,1,{},,Day 9 10:00,TRUE,FALSE,{}
33439,,,TagMessage,249,10/13/16 00:43,10/13/16 00:43,,,,,1,,TRUE,,1,,30,1,{},,Day 8 10:00,TRUE,FALSE,{}
***MESSAGESEND***,,,,,,,,,,,,,,,,,,,,,,,,
***MESSAGEOPTIONS***,,,,,,,,,,,,,,,,,,,,,,,,
id,message_id,key,value,created_at,updated_at,,,,,,,,,,,,,,,,,,,
1780,33439,Perseverance,Know your strengths: You work hard to finish anything you start. Has perseverance played out in your life this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1781,33439,Teamwork,Know your strengths: You work very well in a team. How you have demonstrated teamwork this week and how that has helped others.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1782,33439,Hope,Know your strengths: You believe that you can control your future. Consider how your belief in yourself and abilities worked for you this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1783,33439,Humor,Know your strengths: You are someone who likes to bring smiles to other people. How have you made yourself and others smile this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1784,33439,Kindness,Know your strengths: You are kind and generous to everyone who crosses your path. Consider how your generosity towards others played out this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1785,33439,Spirituality,Know your strengths: You have a strong belief in the higher purpose. Consider how your spirituality has played out this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1786,33439,Zest,Know your strengths: You approach everything you do with excitement and energy. Consider how your zest for life has played out this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1787,33439,Appreciation,Know your strengths: You stop and take notice of the beauty in every day experiences. How has your ability to find beauty in life worked out for you this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1788,33439,Bravery,Know your strengths: You donâ€™t shy away from a challenge. Consider how bravery has played out this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1789,33439,Creativity,Know your strengths: You are never content with doing something the conventional way if there is a better way possible. How has ingenuity played out this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1790,33439,Fairness,Know your strengths: You never let your personal feelings bias your decisions about other people. How has fairness played out this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1791,33439,Judgment,Know your strengths: You never jump to conclusions without considering all sides. How has your open-mindedness played out for you this week?,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1792,33439,Perspective,Know your strengths: Other people think of you as wise and turn to you for advice. Consider how your perspective on a situation helped another person this week.,10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
1793,33439,Learning,"Know your strengths: You love learning new things, whether in a class or on your own. Consider how learning something new worked out for you this week.",10/13/16 00:43,10/13/16 00:43,,,,,,,,,,,,,,,,,,,
